GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
INSY-REST,com.oliwier.insyrest,InsyRestApplication,5,3,0,0,2,1,1,1,1,1
INSY-REST,com.oliwier.insyrest.entity.id,BoxPosId,2,68,1,7,0,14,1,11,0,8
INSY-REST,com.oliwier.insyrest.entity.id,SampleId,8,20,0,0,4,8,2,4,2,4
INSY-REST,com.oliwier.insyrest.controller,SampleController,122,17,17,0,27,6,10,1,1,1
INSY-REST,com.oliwier.insyrest.controller,BoxPosController,0,5,0,0,0,2,0,1,0,1
INSY-REST,com.oliwier.insyrest.controller,ThresholdController,0,5,0,0,0,2,0,1,0,1
INSY-REST,com.oliwier.insyrest.controller,LogController,0,5,0,0,0,2,0,1,0,1
INSY-REST,com.oliwier.insyrest.controller,SampleBoxPosViewController,38,0,0,0,10,0,2,0,2,0
INSY-REST,com.oliwier.insyrest.controller,AbstractCrudController,19,193,2,8,5,42,2,11,0,8
INSY-REST,com.oliwier.insyrest.controller,BoxController,0,5,0,0,0,2,0,1,0,1
INSY-REST,com.oliwier.insyrest.controller,AnalysisController,0,36,0,0,0,9,0,2,0,2
INSY-REST,com.oliwier.insyrest.config,CorsConfig.new WebMvcConfigurer() {...},0,54,0,0,0,7,0,2,0,2
INSY-REST,com.oliwier.insyrest.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
INSY-REST,com.oliwier.insyrest.converter,StringToSampleIdConverter,5,45,0,2,2,11,0,4,0,3
INSY-REST,com.oliwier.insyrest.converter,StringToBoxPosIdConverter,0,34,0,2,0,7,0,3,0,2
INSY-REST,com.oliwier.insyrest.mapper,EntityMapper,0,14,0,0,0,4,0,2,0,2
INSY-REST,com.oliwier.insyrest.mapper,LogMapper,168,9,16,0,37,4,11,1,3,1
INSY-REST,com.oliwier.insyrest.mapper,SampleMapper,26,180,4,2,5,45,3,5,0,5
INSY-REST,com.oliwier.insyrest.mapper,BoxMapper,0,84,0,0,0,23,0,4,0,4
INSY-REST,com.oliwier.insyrest.mapper,BoxPosMapper,17,140,0,0,0,27,2,6,2,6
INSY-REST,com.oliwier.insyrest.mapper,ThresholdMapper,0,60,0,0,0,17,0,4,0,4
INSY-REST,com.oliwier.insyrest.mapper,AnalysisMapper,0,336,2,14,0,80,2,11,0,5
INSY-REST,com.oliwier.insyrest.service,AnalysisService,0,61,0,2,0,15,0,6,0,5
INSY-REST,com.oliwier.insyrest.service,LogService,0,5,0,0,0,2,0,1,0,1
INSY-REST,com.oliwier.insyrest.service,AbstractCrudService,491,250,65,25,92,48,54,12,6,8
INSY-REST,com.oliwier.insyrest.service,SampleService,0,5,0,0,0,2,0,1,0,1
INSY-REST,com.oliwier.insyrest.service,BoxPosService,111,88,11,5,19,16,8,7,1,6
INSY-REST,com.oliwier.insyrest.service,BoxService,0,125,0,10,0,29,0,13,0,8
INSY-REST,com.oliwier.insyrest.service,ThresholdService,0,5,0,0,0,2,0,1,0,1
